material_id,class,characteristic_name,characteristic_value,characteristic_uom
MAT-0088,Bolt,TYPE,Socket Head Cap,
MAT-0088,Bolt,STANDARD,ISO 4762,
MAT-0088,Bolt,MATERIAL,Alloy Steel,
MAT-0088,Bolt,GRADE,12.9,
MAT-0088,Bolt,LENGTH,80mm,
MAT-0088,Bolt,DIAMETER,M16,
MAT-0088,Bolt,THREAD,Coarse,
MAT-0089,Bolt,TYPE,Socket Head Cap,
MAT-0089,Bolt,STANDARD,ISO 4762,
MAT-0089,Bolt,MATERIAL,Alloy Steel,
MAT-0089,Bolt,GRADE,12.9,
MAT-0089,Bolt,LENGTH,80mm,
MAT-0089,Bolt,DIAMETER,M16,
MAT-0089,Bolt,THREAD,Coarse,
MAT-0090,Bolt,TYPE,Socket Head Cap,
MAT-0090,Bolt,STANDARD,ISO 4762,
MAT-0090,Bolt,MATERIAL,Alloy Steel,
MAT-0090,Bolt,GRADE,12.9,
MAT-0090,Bolt,LENGTH,80mm,
MAT-0090,Bolt,DIAMETER,M16,
MAT-0090,Bolt,THREAD,Coarse,
MAT-0091,Cable,TYPE,Power Cable,
MAT-0091,Cable,STANDARD,IEC 60502,
MAT-0091,Cable,CONDUCTOR,Copper,
MAT-0091,Cable,CORES,4 Core,
MAT-0091,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0091,Cable,VOLTAGE,1.1 kV,
MAT-0091,Cable,INSULATION,XLPE,
MAT-0092,Cable,TYPE,Power Cable,
MAT-0092,Cable,STANDARD,IEC 60502,
MAT-0092,Cable,CONDUCTOR,Copper,
MAT-0092,Cable,CORES,4 Core,
MAT-0092,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0092,Cable,VOLTAGE,1.1 kV,
MAT-0092,Cable,INSULATION,XLPE,
MAT-0093,Cable,TYPE,Power Cable,
MAT-0093,Cable,STANDARD,IEC 60502,
MAT-0093,Cable,CONDUCTOR,Copper,
MAT-0093,Cable,CORES,4 Core,
MAT-0093,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0093,Cable,VOLTAGE,1.1 kV,
MAT-0093,Cable,INSULATION,XLPE,
MAT-0094,Cable,TYPE,Power Cable,
MAT-0094,Cable,STANDARD,IEC 60502,
MAT-0094,Cable,CONDUCTOR,Copper,
MAT-0094,Cable,CORES,4 Core,
MAT-0094,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0094,Cable,VOLTAGE,3.3 kV,
MAT-0094,Cable,INSULATION,XLPE,
MAT-0095,Cable,TYPE,Power Cable,
MAT-0095,Cable,STANDARD,IEC 60502,
MAT-0095,Cable,CONDUCTOR,Copper,
MAT-0095,Cable,CORES,4 Core,
MAT-0095,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0095,Cable,VOLTAGE,3.3 kV,
MAT-0095,Cable,INSULATION,XLPE,
MAT-0096,Cable,TYPE,Power Cable,
MAT-0096,Cable,STANDARD,IEC 60502,
MAT-0096,Cable,CONDUCTOR,Copper,
MAT-0096,Cable,CORES,4 Core,
MAT-0096,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0096,Cable,VOLTAGE,3.3 kV,
MAT-0096,Cable,INSULATION,XLPE,
MAT-0097,Cable,TYPE,Control Cable,
MAT-0097,Cable,STANDARD,IEC 60227,
MAT-0097,Cable,CONDUCTOR,Copper,
MAT-0097,Cable,CORES,12 Core,
MAT-0097,Cable,CROSS_SECTION,1.5 sq.mm,
MAT-0097,Cable,VOLTAGE,1.1 kV,
MAT-0097,Cable,INSULATION,PVC,
MAT-0098,Cable,TYPE,Control Cable,
MAT-0098,Cable,STANDARD,IEC 60227,
MAT-0098,Cable,CONDUCTOR,Copper,
MAT-0098,Cable,CORES,12 Core,
MAT-0098,Cable,CROSS_SECTION,1.5 sq.mm,
MAT-0098,Cable,VOLTAGE,1.1 kV,
MAT-0098,Cable,INSULATION,PVC,
MAT-0099,Cable,TYPE,Control Cable,
MAT-0099,Cable,STANDARD,IEC 60227,
MAT-0099,Cable,CONDUCTOR,Copper,
MAT-0099,Cable,CORES,12 Core,
MAT-0099,Cable,CROSS_SECTION,1.5 sq.mm,
MAT-0099,Cable,VOLTAGE,1.1 kV,
MAT-0099,Cable,INSULATION,PVC,
MAT-0100,Cable,TYPE,Control Cable,
MAT-0100,Cable,STANDARD,IEC 60227,
MAT-0100,Cable,CONDUCTOR,Copper,
MAT-0100,Cable,CORES,12 Core,
MAT-0100,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0100,Cable,VOLTAGE,1.1 kV,
MAT-0100,Cable,INSULATION,PVC,
MAT-0101,Cable,TYPE,Control Cable,
MAT-0101,Cable,STANDARD,IEC 60227,
MAT-0101,Cable,CONDUCTOR,Copper,
MAT-0101,Cable,CORES,12 Core,
MAT-0101,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0101,Cable,VOLTAGE,1.1 kV,
MAT-0101,Cable,INSULATION,PVC,
MAT-0102,Cable,TYPE,Control Cable,
MAT-0102,Cable,STANDARD,IEC 60227,
MAT-0102,Cable,CONDUCTOR,Copper,
MAT-0102,Cable,CORES,12 Core,
MAT-0102,Cable,CROSS_SECTION,2.5 sq.mm,
MAT-0102,Cable,VOLTAGE,1.1 kV,
MAT-0102,Cable,INSULATION,PVC,
MAT-0103,Cable,TYPE,Power Cable,
MAT-0103,Cable,STANDARD,IEC 60502,
MAT-0103,Cable,CONDUCTOR,Aluminium,
MAT-0103,Cable,CORES,3 Core,
MAT-0103,Cable,CROSS_SECTION,240 sq.mm,
MAT-0103,Cable,VOLTAGE,11 kV,
MAT-0103,Cable,INSULATION,XLPE,
MAT-0104,Cable,TYPE,Power Cable,
MAT-0104,Cable,STANDARD,IEC 60502,
MAT-0104,Cable,CONDUCTOR,Aluminium,
MAT-0104,Cable,CORES,3 Core,
MAT-0104,Cable,CROSS_SECTION,240 sq.mm,
MAT-0104,Cable,VOLTAGE,11 kV,
MAT-0104,Cable,INSULATION,XLPE,
MAT-0105,Cable,TYPE,Power Cable,
MAT-0105,Cable,STANDARD,IEC 60502,
MAT-0105,Cable,CONDUCTOR,Aluminium,
MAT-0105,Cable,CORES,3 Core,
MAT-0105,Cable,CROSS_SECTION,240 sq.mm,
MAT-0105,Cable,INSULATION,XLPE,
MAT-0106,Cable,TYPE,Power Cable,
MAT-0106,Cable,STANDARD,IEC 60502,
MAT-0106,Cable,CONDUCTOR,Aluminium,
MAT-0106,Cable,CORES,3.5 Core,
MAT-0106,Cable,CROSS_SECTION,240 sq.mm,
MAT-0106,Cable,VOLTAGE,11 kV,
MAT-0106,Cable,INSULATION,XLPE,
MAT-0107,Cable,TYPE,Power Cable,
MAT-0107,Cable,STANDARD,IEC 60502,
MAT-0107,Cable,CONDUCTOR,Aluminium,
MAT-0107,Cable,CORES,3.5 Core,
MAT-0107,Cable,CROSS_SECTION,240 sq.mm,
MAT-0107,Cable,VOLTAGE,11 kV,
MAT-0107,Cable,INSULATION,XLPE,
MAT-0108,Cable,TYPE,Power Cable,
MAT-0108,Cable,STANDARD,IEC 60502,
MAT-0108,Cable,CONDUCTOR,Aluminium,
MAT-0108,Cable,CORES,3.5 Core,
MAT-0108,Cable,CROSS_SECTION,240 sq.mm,
MAT-0108,Cable,VOLTAGE,11 kV,
MAT-0108,Cable,INSULATION,XLPE,
MAT-0109,Cable,TYPE,Instrumentation Cable,
MAT-0109,Cable,STANDARD,BS 5308,
MAT-0109,Cable,CONDUCTOR,Copper,
MAT-0109,Cable,CORES,10 Pair,
MAT-0109,Cable,CROSS_SECTION,1.0 sq.mm,
MAT-0109,Cable,VOLTAGE,500 V,
MAT-0109,Cable,INSULATION,PE,
MAT-0110,Cable,TYPE,Instrumentation Cable,
MAT-0110,Cable,STANDARD,BS 5308,
MAT-0110,Cable,CONDUCTOR,Copper,
MAT-0110,Cable,CORES,10 Pair,
MAT-0110,Cable,CROSS_SECTION,1.0 sq.mm,
MAT-0110,Cable,VOLTAGE,500 V,
MAT-0110,Cable,INSULATION,PE,
MAT-0111,Cable,TYPE,Instrumentation Cable,
MAT-0111,Cable,STANDARD,BS 5308,
MAT-0111,Cable,CONDUCTOR,Copper,
MAT-0111,Cable,CORES,10 Pair,
MAT-0111,Cable,CROSS_SECTION,1.0 sq.mm,
MAT-0111,Cable,VOLTAGE,500 V,
MAT-0111,Cable,INSULATION,PE,
MAT-0112,Cable,TYPE,Data Cable,
MAT-0112,Cable,STANDARD,Cat6A,
MAT-0112,Cable,CONDUCTOR,Copper,
MAT-0112,Cable,CORES,4 Pair,
MAT-0112,Cable,CROSS_SECTION,AWG 23,
MAT-0112,Cable,VOLTAGE,Low Voltage,
MAT-0112,Cable,INSULATION,LSZH,
MAT-0113,Cable,TYPE,Data Cable,
MAT-0113,Cable,STANDARD,Cat6A,
MAT-0113,Cable,CONDUCTOR,Copper,
MAT-0113,Cable,CORES,4 Pair,
MAT-0113,Cable,CROSS_SECTION,AWG 23,
MAT-0113,Cable,VOLTAGE,Low Voltage,
MAT-0113,Cable,INSULATION,LSZH,
MAT-0114,Cable,TYPE,Data Cable,
MAT-0114,Cable,STANDARD,Cat6A,
MAT-0114,Cable,CONDUCTOR,Copper,
MAT-0114,Cable,CORES,4 Pair,
MAT-0114,Cable,CROSS_SECTION,AWG 23,
MAT-0114,Cable,VOLTAGE,Low Voltage,
MAT-0114,Cable,INSULATION,LSZH,
MAT-0115,Cable,TYPE,Power Cable,
MAT-0115,Cable,STANDARD,IEC 60502,
MAT-0115,Cable,CONDUCTOR,Copper,
MAT-0115,Cable,CORES,1 Core,
MAT-0115,Cable,CROSS_SECTION,630 sq.mm,
MAT-0115,Cable,VOLTAGE,33 kV,
MAT-0115,Cable,INSULATION,XLPE,
MAT-0116,Cable,TYPE,Power Cable,
MAT-0116,Cable,STANDARD,IEC 60502,
MAT-0116,Cable,CONDUCTOR,Copper,
MAT-0116,Cable,CORES,1 Core,
MAT-0116,Cable,CROSS_SECTION,630 sq.mm,
MAT-0116,Cable,VOLTAGE,33 kV,
MAT-0116,Cable,INSULATION,XLPE,
MAT-0117,Cable,TYPE,Power Cable,
MAT-0117,Cable,STANDARD,IEC 60502,
MAT-0117,Cable,CONDUCTOR,Copper,
MAT-0117,Cable,CORES,1 Core,
MAT-0117,Cable,CROSS_SECTION,630 sq.mm,
MAT-0117,Cable,VOLTAGE,33 kV,
MAT-0117,Cable,INSULATION,XLPE,
MAT-0118,Cable,TYPE,Flexible Cable,
MAT-0118,Cable,STANDARD,IEC 60245,
MAT-0118,Cable,CONDUCTOR,Copper,
MAT-0118,Cable,CORES,5 Core,
MAT-0118,Cable,CROSS_SECTION,4.0 sq.mm,
MAT-0118,Cable,VOLTAGE,450/750 V,
MAT-0118,Cable,INSULATION,Rubber,
MAT-0119,Cable,TYPE,Flexible Cable,
MAT-0119,Cable,STANDARD,IEC 60245,
MAT-0119,Cable,CONDUCTOR,Copper,
MAT-0119,Cable,CORES,5 Core,
MAT-0119,Cable,CROSS_SECTION,4.0 sq.mm,
MAT-0119,Cable,VOLTAGE,450/750 V,
MAT-0119,Cable,INSULATION,Rubber,
MAT-0120,Cable,TYPE,Flexible Cable,
MAT-0120,Cable,STANDARD,IEC 60245,
MAT-0120,Cable,CONDUCTOR,Copper,
MAT-0120,Cable,CORES,5 Core,
MAT-0120,Cable,CROSS_SECTION,4.0 sq.mm,
MAT-0120,Cable,VOLTAGE,450/750 V,
MAT-0120,Cable,INSULATION,Rubber,
