corpus_id,organization,source_system,source_section,tender_reference,tender_id,description,description_kind,item_type_hint,quantity,unit,location,product_category,document_url,source_url
M003515,Oil India Limited,oil-india.com,archive:Limited Tenders,CDC8280L25,,"Exterior painting of AT quarters (including supply of all materials except cement) located at Oil Housing Colony, Duliajan.(Total Number of units of AT type-180) Contract Execution cost is Rs.1,08,93,048.89 excluding GST,BoCW, PF & Cost of Company Materials",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/65?in_detail=NmtHM3ZRPT0=
M003516,Oil India Limited,oil-india.com,archive:National Tenders,CDC6786P25,,"Exterior painting of AT, BT, CT, AX, BX, BX Plus quarters (including supply of all materials except cement) located at Oil Housing Colony, Duliajan",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/63?in_detail=N0VDdw==
M003517,Oil India Limited,oil-india.com,archive:National Tenders,CDC8273P25,,"Exterior painting of AX quarters (including supply of all materials except cement) located at Oil Housing Colony,Duliajan.(Total Number of Units of AX Type 342) (Contract Execution Cost Rs.1,67,84,149.70 excluding GST,BoCW,PF & cost of company materials)",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/63?in_detail=NmtHMnV3PT0=
M003518,Oil India Limited,oil-india.com,archive:Limited Tenders,CDC8298L25,,"Exterior painting of BT quarters (including supply of all materials except cement) located at Oil Housing Colony, Duliajan. (Total Number of units of BT type-72) Contract Execution cost is Rs. 52,22,542.26 excluding GST,BoCW, PF & Cost of Company Materials",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/65?in_detail=NmtHM3VnPT0=
M003519,Oil India Limited,oil-india.com,archive:National Tenders,CDC8274P25,,"Exterior painting of BX plus quarters (including supply of all materials except cement) located at Oil Housing Colony, Duliajan.(Total Number of Units of BX plus type 438) Contract Execution cost is Rs.27,134,588.44 excluding GST,BoCW, PF & Cost of Company Materials",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/63?in_detail=NmtHMnVnPT0=
M003520,Oil India Limited,oil-india.com,archive:Limited Tenders,CDC8283L25,,"Exterior painting of BX quarters (including supply of all materials except cement) located at Oil Housing Colony, Duliajan. (Total Number of Units of BX type-120) (Contract Execution Cost Rs.75,02,998.92 excluding GST,BoCW,PF & cost of company materials)",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/65?in_detail=NmtHMnRBPT0=
M003521,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7383577,,External Hard Disk Drive of 4 TB Capacity,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVLMnVBPT0=
M003522,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5430433,,External Hard Drive( SSD),archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtXMnVRPT0=
M003523,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5082580,,Extra High Pressure Rubber Hose,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=N0VHKw==
M003524,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7102763,,Extreme Pressure Mud Lubricant,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVTMnVRPT0=
M003525,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5811983,,F-Cup tester for Casing,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtHMXVBPT0=
M003526,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7523499,,FABRICATED RECTANGULAR TANK,archived_tender,tank,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVDMnVBPT0=
M003527,Oil India Limited,oil-india.com,archive:National Tenders,GCO6883P25,,FABRICATION AND ERECTION OF HOT CRANE ASSEMBLY OVER RECEIVING AND LAUNCHING BARREL AT PS1,archived_tender,crane,,,Guwahati,,,https://www.oil-india.com/tender-details/63?in_detail=NmtlMnZBPT0=
M003528,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5141246,,"FABRICATION, PACKAGING & SUPPLY OF INDIRECT WATER BATH HEATER PACKAGE FOR PROCESSING NATURAL GAS",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NDBHdw==
M003529,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6701765,,"FABRICATION, PACKAGING, & SUPPLY OF INDIRECT WATER BATH HEATER PACKAGE FOR OIL WELLS",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVDd3VnPT0=
M003530,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5090512,,"FABRICATION, PACKAGING, SUPPLY OF INDIRECT WATER BATH HEATER PACKAGE FOR PROCESSING CRUDE OIL",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NDBldw==
M003531,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5778865,,FACEPIECE RESPIRATOR,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NmtHMnRRPT0=
M003532,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7147382,,"FACILITY MANAGEMENT SERVICES - LUMPSUM BASED ""HIRING SERVICES FOR VARIOUS FABRICATION AND OTHER MISCELLANEOUS JOBS IN THE INDUSTRIAL AND DOMESTIC AREA UNDER NUMALIGARH TERMINAL FOR A PERIOD OF 02(TWO) YEARS WITH A PROVISION OF EXTENSION BY ANOTHER 01(ONE)YEAR""",archived_tender,,,,Numaligarh,,,https://www.oil-india.com/tender-details/124?in_detail=NkVXenVnPT0=
M003533,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6766994,,FALL PREVENTION DEVICE,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NlUrMHZRPT0=
M003534,Oil India Limited,oil-india.com,archive:National Tenders,CIC5544P24,,"FEASIBILITY STUDY OF CO2 TRANSPORTATION AND STORAGE IN SALINE AQUIFERS OR RESERVOIRS OF JAISALMER BASIN, RAJASTHAN",archived_tender,,,,Jodhpur,,,https://www.oil-india.com/tender-details/63?in_detail=NkU0PQ==
M003535,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5249706,,FIRE EXTINGUISHER DCP 75KG CAPACITY,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NGs2eA==
M003536,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4782982,,FIRE EXTINGUISHERS (DCP & CO2 TYPE),archived_tender,,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NlU2Mw==
M003537,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7657843,,FIRE FIGHTING DELIVERY HOSE,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkUrd3ZnPT0=
M003538,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5847565,,FIRE TUBE for EMULSION TREATER (ET),archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtHd3Z3PT0=
M003539,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7281116,,FIVE (05) POINT MANIFOLD,archived_tender,,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NkVTeHVnPT0=
M003540,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6051015,,FLAME PROOF ELECTRIC MOTOR DRIVEN PROGRSSIVE CAVITY POSITIVE DISPLACEMENT SCREW PUMP,archived_tender,pump,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=Nms2M3VBPT0=
M003541,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7154768,,FLAMEPROOF LIGHT FITTING,archived_tender,pipe fitting,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NkVXenRRPT0=
M003542,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6781658,,FLANGE & GATE VALVE,archived_tender,gate valve,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NlUrMHVnPT0=
M003543,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6372393,,FLANGE FLANGE,archived_tender,flange,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVTenRBPT0=
M003544,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4682718,,FLC 2000 FLC 2000,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVXMw==
M003545,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7318542,,FLOAT EQUIPMENTS (CONVENTIONAL TYPE),archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVPeXVBPT0=
M003546,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5118625,,FLOW COMPUTER WITH MULTI VARIABLE SENSOR (MVS),archived_tender,,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NDBXMA==
M003547,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6173278,,"FLP CABLE GLAND, 1"" ET, 19 mm OD",archived_tender,cable,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVlL3V3PT0=
M003548,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/7024121,,FLP FLOOD LIGHT FITTINGS,archived_tender,pipe fitting,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVheXZ3PT0=
M003549,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5503639,,FLP High Mast Control Panel,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtTMnZBPT0=
M003550,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6669221,,FLP PEDEATAL FAN,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NlVDMXV3PT0=
M003551,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6034761,,FLP Pedestal Fans for LPG Filling Plant of LPG Department,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=Nmsrd3RBPT0=
M003552,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5594833,,FOAM TROLLEY (MOBILE FOAM UNIT),archived_tender,,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NmtTeHRBPT0=
M003553,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5876249,,FOR HOSES VIBRATOR,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtDMnRBPT0=
M003554,Oil India Limited,oil-india.com,archive:National Tenders,CIP0326P26,,FOR REPLACEMENT OF COATING AND ASSOCIATED WORKS FOR PIPELINE REHABILIATION PROJECT-PHASE-II,archived_tender,pipe,,,Guwahati,,,https://www.oil-india.com/tender-details/63?in_detail=NlVDK3RRPT0=
M003555,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/7013511,,"FORMALIN BOX, BIPOLAR FORCEPS, MONOPOLAR HOOK, LAPAROSCOPIC SCISSORS & LAPAROSCOPIC SPATULA",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVhM3RRPT0=
M003556,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6928499,,"FOSV, Crossover",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVlMHZBPT0=
M003557,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5797016,,"FOSV, Kelly Saver Sub etc",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtHM3RRPT0=
M003558,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6521711,,"FOUNDATION FIELDBUS CABLE-SPUR , FOUNDATION FIELDBUS CABLE TRUNK",archived_tender,cable,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVLM3RBPT0=
M003559,Oil India Limited,oil-india.com,archive:Limited Tenders,GOD7771L25,,FRP PPE Box for Battery Room,archived_tender,,,,Guwahati,,,https://www.oil-india.com/tender-details/65?in_detail=NmtTMHVRPT0=
M003560,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4555712,,FRP SECURITY CABIN,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtRPQ==
M003561,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5160902,,FSC Photocopy Paper,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NGtlLw==
M003562,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6549262,,FUEL INJECTION PUMP (FIP) CALIBRATION TEST STAND,archived_tender,pump,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVLeHZ3PT0=
M003563,Oil India Limited,oil-india.com,archive:National Tenders,GCO6886P25,,Fabrication and supply of 600 nos. R.C.C Boundary Marker Post of size: 1.220m x 0.23m x 0.1m at PLM/PS 3 Base-Jorhat,archived_tender,,,,Guwahati,,,https://www.oil-india.com/tender-details/63?in_detail=NGtleA==
M003564,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7701107,,"Fabrication of 600 nos. of RCC marker posts (200 nos.of 1.22 m height & 400 nos. of 1.8 m height) as per specification and approved drawing, complete in all respect including supply of all materials at PS-3, Jorhat",archived_tender,,,,Jorhat,,,https://www.oil-india.com/tender-details/124?in_detail=NkU2M3ZnPT0=
M003565,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7731912,,"Fabrication, Packaging and Supply of Indirect Water Bath Heater Package",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkU2eXVBPT0=
M003566,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5114892,,Face Recognition Biometric Attendance System,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NDBXdw==
M003567,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5827350,,Facility Management Services - LumpSum Based - Residential; Comprehensive Facility Management Services; Consumables to be provided by service provider (inclusive in contract cost),archived_tender,,,,Jodhpur,,,https://www.oil-india.com/tender-details/124?in_detail=NmtHenZRPT0=
M003568,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7482060,,"Facility Management Services at Studio Apartment OIL FHQ Duliajan including Catering (Cook and Helper), Mechanized Housekeeping Services & Day to Day O&M Activities with supply of all housekeeping machineries & material",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVHeXZRPT0=
M003569,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7127553,,"Facility Management Services- LumpSum Based ""HIRING OF SERVICES FOR MAKING OF FLEX PRINT & SIMILAR SIGNBOARDS, BANNERS, SIGNAGE ETC. FOR PS3 JORHAT, ON AS & WHEN REQUIRED BASIS FOR A PERIOD OF TWO YEARS""",archived_tender,,,,Jorhat,,,https://www.oil-india.com/tender-details/124?in_detail=NkVXeXZ3PT0=
M003570,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7137087,,"Facility Management Services- LumpSum Based -Hiring services of making flex print & similar signboards, banners, signage and painted signboards for Numaligarh Terminal on as & when required basis for a period of 2(two) years with provision of extension by another 1(one)year",archived_tender,,,,Numaligarh,,,https://www.oil-india.com/tender-details/124?in_detail=NkVXenZRPT0=
M003571,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4766408,,Ferric Chloride Liquid,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVDeg==
M003572,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6554024,,Ferric Chloride-Liquid,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVLeHZBPT0=
M003573,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4586589,,Fiber Optic Patch Cord,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NGs0PQ==
M003574,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5267198,,Film Forming Fluoro-Protein Foam Compound (FFFP-3%),archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtlM3V3PT0=
M003575,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7248630,,Film Forming Fluro-Protein (FFFP) Foam,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVTenZBPT0=
M003576,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5344955,,Fire Alarm System,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmthMHZ3PT0=
M003577,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6313270,,"Fire Detection & Alarm System, 4.5 kg CO2 Fire Extinguisher",archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NlVXenVBPT0=
M003578,Oil India Limited,oil-india.com,archive:National Tenders,SDI6927P25,,Firewood For Cremation,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/63?in_detail=NGtXeA==
M003579,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5686858,,Fishing Jar etc,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtLMnZBPT0=
M003580,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5156864,,Fishing Magnet,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NDBDLw==
M003581,Oil India Limited,oil-india.com,archive:Global Tenders,SDG6640P25,,Fishing Tools,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/64?in_detail=N1VHeA==
M003582,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5693645,,Fishing bumper Sub etc,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtPL3RBPT0=
M003583,Oil India Limited,oil-india.com,archive:Global Tenders,SDG0538P26,,Fishing magnet etc,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/64?in_detail=NlU2MHZRPT0=
M003584,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5082102,,Fitting Items for Oil & Gas Production,archived_tender,pipe fitting,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=N0VLeA==
M003585,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5013553,,Fixed Wireless Telephone,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=N1VDMg==
M003586,Oil India Limited,oil-india.com,archive:Limited Tenders,CDC0497L26,,"Fixing of Triangular,Circular and Rectangular Signboards inside OIL Township including supply of all materials except cement",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/65?in_detail=NlU2MnZBPT0=
M003587,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6225600,,Flame Proof (FLP) LED Luminaire,archived_tender,,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NlVhenV3PT0=
M003588,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7297708,,Flame Proof Lights (FLP),archived_tender,,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NkVPMnZnPT0=
M003589,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5092913,,Flameproof (Ex-d) Pedestal Fan,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NDBXMw==
M003590,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6023569,,Flameproof (Ex-d) Pedestal Fan complete with a FLP rotary ON/OFF switch,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NmsrenZ3PT0=
M003591,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7394582,,Flameproof Switch Socket,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVLd3ZnPT0=
M003592,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5094439,,Flameproof and Weatherproof well glass luminaire with LED lamp,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=N0U2Kw==
M003593,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5080440,,Flange Flange,archived_tender,flange,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=N0VDeg==
M003594,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5950109,,"Flange, FCS, RTJ, 5000 PSI, Size: 4""",archived_tender,flange,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlVlenZ3PT0=
M003595,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7259001,,Flanges & Valve,archived_tender,valve,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NkVTenRRPT0=
M003596,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6204492,,Flanges Flanges,archived_tender,flange,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NlVXMXVRPT0=
M003597,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7541331,,Flanges. Flanges,archived_tender,flange,,,Jaisalmer,,,https://www.oil-india.com/tender-details/124?in_detail=NkVDMHRBPT0=
M003598,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4777599,,Flash Autoclave,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVTLw==
M003599,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6897492,,Floating Grooved Drum Type cum Brush Type Oil Skimmer with Hydraulic Power Pack,archived_tender,tank,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NlU2K3RRPT0=
M003600,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/7033606,,"Foam Cum Water Monitor, UL listed with Nozzle of Flow 750 US GPM",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVhenRBPT0=
M003601,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5468607,,Foam cum Water Monitors,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtXL3ZnPT0=
M003602,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7670032,,"Forged Steel Needle Valves, Alloy Steel Full Thread Stud Bolt and Valves",archived_tender,valve,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkUrK3ZRPT0=
M003603,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7164518,,Formaldehyde (Formalin),archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVXeHZBPT0=
M003604,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5021942,,Fowlers Bed,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=N0VLMg==
M003605,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5613446,,Freeze Dryer,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtPM3RBPT0=
M003606,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5556401,,Full Opening Safety valve (FOSV) & Kelly saver,archived_tender,safety valve,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtTenZRPT0=
M003607,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5363447,,Full body harness with lanyard,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NmthK3RRPT0=
M003608,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5152851,,Functional Electrical Stimulator,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NDBDeQ==
M003609,Oil India Limited,oil-india.com,archive:National Tenders,CNI6661P25,,"Furnishing of the Conference Hall at the Office of Frontier Basin Project, OIL including interior Electrical Works, False Ceiling, Sound proof Panelling of walls, installation of furniture and Audio Visual Systems",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/63?in_detail=N1VDeg==
M003610,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6311409,,Fuse base & carrier,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NlVTM3VnPT0=
M003611,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6030737,,GALVANISED BARBED WIRE,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmsrenVBPT0=
M003612,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2026/B/7506809,,GENERATING SET,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NkVHL3V3PT0=
M003613,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5926137,,GR or Equivalent Grade Sulfur Free Xylene,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtDeXRRPT0=
M003614,Oil India Limited,oil-india.com,archive:Limited Tenders,GOD6569L25,,"GRASS CUTTING MACHINE , DRUM TROLLEY , VERTICLE BENCH DRILL MACHINE , HEAVY DUTY PEDESTAL GRINDER WITH STARTER , WASTEBIN",archived_tender,tank,,,Guwahati,,,https://www.oil-india.com/tender-details/65?in_detail=N1VXLw==
M003615,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4766693,,GUM BOOT GUM BOOT,archived_tender,,,,Kolkata,,,https://www.oil-india.com/tender-details/124?in_detail=NkVhMg==
M003616,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5013080,,Galvanized Barbed Wire (in Kilogram),archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=N1VHMg==
M003617,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6060628,,Galvanized Bolt and Nut,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=Nms2MnVnPT0=
M003618,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/5879289,,Galvanized Drums,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtDMnZnPT0=
M003619,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/4909151,,Galvanized Iron Strap,archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NzBHeg==
M003620,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5457953,,Gas Compressors,archived_tender,compressor,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtXMXZnPT0=
M003621,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2024/B/5606639,,Gas Engine Driven Horizontal Piston type Reciprocating Pump,archived_tender,pump,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NmtPMnVRPT0=
M003622,Oil India Limited,oil-india.com,archive:GeM Tenders,GEM/2025/B/6984355,,"Gas Engine Driven Silent Generating Set of capacity 125 kVA., QTY-5 No",archived_tender,,,,Duliajan,,,https://www.oil-india.com/tender-details/124?in_detail=NkVleHVnPT0=
